EventId,EventName,EventCategoryId,EventCategoryName,StartDateTime,EndDateTime,ReservationId,BackgroundColor,TextColor,IsRegistered,SsoUrl,ImageUrl,MaxRegistrants,RegisteredCount,PriceInfo,RatingRestrictions,TagsInfo
1389648,All Levels Open Play,53028,All Levels w/ Challenge Court,2025-07-08T15:00:00,2025-07-08T17:00:00,37453252,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1224311,Beginner Open Play (Unsupervised),61862,Beginner Open Play,2025-07-08T17:00:00,2025-07-08T18:00:00,33570348,#dcedc1,#000000,False,REDACTED,,8.0,,[],[],[]
1389726,3.75+ Open Play,47676,Low Advanced,2025-07-08T18:00:00,2025-07-08T20:00:00,37455318,#51074a,#ffffff,False,REDACTED,,6.0,,[],[],[]
1390736,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-07-08T18:00:00,2025-07-08T20:00:00,37486434,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1360317,Honcho League,40475,Leagues ,2025-07-08T18:00:00,2025-07-08T22:00:00,36794042,#11e2bb,#0f0f0f,False,REDACTED,,1.0,,[],[],[]
1390741,ALL LEVELS Open Play - $20 Flat - Free with Basic & Premium Memberships,53028,All Levels w/ Challenge Court,2025-07-08T20:00:00,2025-07-08T23:59:00,37917265,#74d600,#000000,False,REDACTED,,48.0,,[],[],[]
1287090,Closed Courts,46821,Closed Courts,2025-07-09T07:00:00,2025-07-09T09:00:00,37452129,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1516644,Closed Courts,46821,Closed Courts,2025-07-09T07:00:00,2025-07-09T09:00:00,40294322,#707070,#f8eeee,False,REDACTED,,,,[],[],[]
1389575,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-07-09T09:00:00,2025-07-09T11:00:00,37451608,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1389629,3.0 - 3.5 Open Play,40472,Intermediate,2025-07-09T09:00:00,2025-07-09T11:00:00,37452679,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1116968,Summer Kids Clinics - Ages 8-12,65804,Kids Summer Camp,2025-07-09T09:00:00,2025-07-09T14:00:00,31010384,#e74c6b,#000000,False,REDACTED,,10.0,,[],[],[]
1389664,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-07-09T11:00:00,2025-07-09T13:00:00,37453607,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1389680,3.0 - 3.5 Open Play,40472,Intermediate,2025-07-09T11:00:00,2025-07-09T13:00:00,37453994,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1389645,All Levels Open Play,53028,All Levels w/ Challenge Court,2025-07-09T13:00:00,2025-07-09T15:00:00,37453165,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1389648,All Levels Open Play,53028,All Levels w/ Challenge Court,2025-07-09T15:00:00,2025-07-09T17:00:00,37453253,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
