Id,ReservationTypeId,ReservationTypeName,Courts,Instructors,IsLesson,StartTime,EndTime,CreatedOnUtc,UpdatedOnUtc,CancelledOn,Players,UserDefinedFields
36866379,52121,Private Lesson,Court #2,REDACTED,True,2025-06-20T13:00:00,2025-06-20T14:00:00,2025-06-11T19:03:21.203,2025-06-13T11:09:44.727,,REDACTED,[]
36869531,52120,Reserve Court: Doubles,Court #2,REDACTED,False,2025-06-15T13:00:00,2025-06-15T15:00:00,2025-06-11T19:53:02.27,2025-06-15T12:59:43.35,,REDACTED,[]
36880917,52120,Reserve Court: Doubles,Court #7,REDACTED,False,2025-06-24T18:00:00,2025-06-24T20:00:00,2025-06-12T00:03:28.507,,,REDACTED,[]
36883215,52120,Reserve Court: Doubles,Court #2,REDACTED,False,2025-06-16T20:00:00,2025-06-16T22:00:00,2025-06-12T01:33:14.4,,,REDACTED,[]
36885375,84484,Reserve Court: Three Person,Court #4,REDACTED,False,2025-06-12T14:00:00,2025-06-12T15:00:00,2025-06-12T02:59:56.24,2025-06-12T13:58:56.58,,REDACTED,[]
36885396,84484,Reserve Court: Three Person,Court #4,REDACTED,False,2025-06-12T15:00:00,2025-06-12T16:00:00,2025-06-12T03:00:55.707,2025-06-12T13:59:23.227,,REDACTED,[]
36893360,52120,Reserve Court: Doubles,Court #2,REDACTED,False,2025-06-13T14:00:00,2025-06-13T17:00:00,2025-06-12T13:52:34.96,,,REDACTED,[]
36894237,57948,Reserve Court: Singles,Court #1,REDACTED,False,2025-06-13T12:00:00,2025-06-13T14:00:00,2025-06-12T14:11:30.877,2025-06-13T12:11:55.23,,REDACTED,[]
36899656,64158,"Drilling with The Titan Ball Machine $70 per HR ($2,299 Value)",Court #8,REDACTED,False,2025-06-13T16:30:00,2025-06-13T17:30:00,2025-06-12T16:11:00.757,,,REDACTED,[]
36899684,64158,"Drilling with The Titan Ball Machine $70 per HR ($2,299 Value)",Court #8,REDACTED,False,2025-06-13T15:30:00,2025-06-13T16:30:00,2025-06-12T16:11:42.437,,,REDACTED,[]
36905106,57948,Reserve Court: Singles,Court #1,REDACTED,False,2025-06-12T17:00:00,2025-06-12T18:30:00,2025-06-12T17:59:39.277,,,REDACTED,[]
36915505,52120,Reserve Court: Doubles,Court #1,REDACTED,False,2025-06-13T07:00:00,2025-06-13T09:00:00,2025-06-12T21:21:32.157,,,REDACTED,[]
36919594,52121,Private Lesson,Court #1,REDACTED,True,2025-06-14T10:00:00,2025-06-14T11:00:00,2025-06-12T23:18:48.477,2025-06-14T11:54:49.68,,REDACTED,[]
36930621,57948,Reserve Court: Singles,Court #4,REDACTED,False,2025-06-13T15:00:00,2025-06-13T17:00:00,2025-06-13T11:21:43.723,,,REDACTED,[]
