EventId,EventName,EventCategoryId,EventCategoryName,StartDateTime,EndDateTime,ReservationId,BackgroundColor,TextColor,IsRegistered,SsoUrl,ImageUrl,MaxRegistrants,RegisteredCount,PriceInfo,RatingRestrictions,TagsInfo
1342657,3.0 - 3.5 Open Play,40472,Intermediate,2025-06-09T09:00:00,2025-06-09T11:00:00,36149717,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1342659,Advanced Beginner Open Play,40470,Advanced Beginner,2025-06-09T09:00:00,2025-06-09T11:00:00,36149841,#dcedc1,#000000,False,REDACTED,,6.0,,[],[],[]
1342336,3.5 - 3.5+ Open Play,40471, High Intermediate,2025-06-09T11:00:00,2025-06-09T13:00:00,36139142,#d69cbc,#1a1919,False,REDACTED,,10.0,,[],[],[]
1342357,3.0 - 3.5 Open Play,40472,Intermediate,2025-06-09T11:00:00,2025-06-09T13:00:00,36139744,#ffd3b6,#171717,False,REDACTED,,10.0,,[],[],[]
1342360,Advanced Beginner Open Play,40470,Advanced Beginner,2025-06-09T11:00:00,2025-06-09T13:00:00,36139817,#dcedc1,#000000,False,REDACTED,,6.0,,[],[],[]
1342407,All Levels Open Play,53028,All Levels w/ Challenge Court,2025-06-09T13:00:00,2025-06-09T15:00:00,36141219,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1342411,All Levels Open Play,53028,All Levels w/ Challenge Court,2025-06-09T15:00:00,2025-06-09T17:00:00,36141283,#74d600,#000000,False,REDACTED,,24.0,,[],[],[]
1114751,High School - Open Play,65806,Highschool Open Play,2025-06-09T15:00:00,2025-06-09T17:00:00,36168413,#3439cc,#f7f6f6,False,REDACTED,,10.0,,[],[],[]
1343043,Intro to Pickleball,61814,Intro to Pickleball,2025-06-09T17:00:00,2025-06-09T18:00:00,36168445,#a8e6cf,#000000,False,REDACTED,,8.0,,[],[],[]
1228396,Session 3 Womens 3.5-3.5+ Ladder League,51948,Big Dill Ladder League,2025-06-09T18:00:00,2025-06-09T20:00:00,33712119,#11e2bb,#000000,False,REDACTED,,20.0,,[],[],[]
